Position   Rating   Sudoku_in_suduku17C_list                                                                    Canonical_form                                                                              Sudoku_from_sudokugarden.de                                                                 Cmp    Date
    7653      134   ___2__45_+___13____+_8____7__+_6__58___+4_____2__+_________+5______83+2__4_____+_________   _________+_____1__2+_34_____5+_________+___35__6_+2_______1+____47___+15___2___+8______3_   _____2__1+_________+83_7_____+__1____32+_65______+___8____4+_________+__2__1___+_____368_   PERM   2006-06-25
    2618      133   ____1___8+4_____5__+_________+7__4__6__+3__2_7___+______1__+___5___7_+_68______+_1_____2_   _________+_____1__2+__3____4_+________3+_1___5__6+57___8___+____3_7__+___46____+_2____5__   ____8_6__+_7_1_____+_________+_____3__1+2_8______+6____9___+___6_____+_3_2____7+_4_____39   PERM   2006-06-26
    2242      141   _____54__+7_______2+____6____+_____715_+____4_6__+3________+___7___83+_65______+___2_____   ________1+________2+__3__4___+______35_+_1__3____+2__6_____+____1_7__+__5___4__+_6_28____   2__6_____+______4__+8_7__5___+____9____+_43_5____+_______72+6____7___+_9____5__+___2_____   PERM   2006-06-27
   29393      524   3__26____+_4_____1_+____8____+_71__4___+______3_8+______2__+2_8______+___6_7___+5________   ________1+_______23+_____4___+_____56__+__1___4__+_72_3____+___18____+6_____5__+8___2____   _34______+_6______3+____5___8+5___8____+_2____69_+____7_4__+_____4___+7________+___6_2___   PERM   2006-06-28
   13145      142   __18_____+______3_4+______6__+___2__15_+43_______+7________+67___3___+____4___2+_______8_   ________1+_______2_+__3__4___+_____5___+_1______6+62______7+____2__3_+__571____+__8___4__   7________+_____92__+___2_81__+____6__3_+__8_____4+_19_7____+________8+3___4____+______9__   PERM   2006-06-29
   26780      133   2______54+_3_6_____+_______8_+_1_7__3__+___2_8___+4________+____45___+____9_1__+5________   _________+_____1__2+__3_4__5_+_______4_+______63_+_1___2___+___5_7__8+3__6_____+49_______   ________3+___3_4___+_2___7___+3_4_____1+____5_8__+6________+_8__9_2__+___61____+________4   PERM   2006-06-30
    6087      134   ____8__2_+____93___+1________+6__7__2__+______3__+________9+__95___1_+___1__46_+_8_______   ________1+_______2_+__3__4___+_____53_6+_7_______+21_______+____1____+___7_89__+8_____4_3   ________3+__2__1___+______7__+73_______+_4_______+_____9_28+____46_5_+___3_____+6______12   PERM   2006-07-01
    6138      626   ____8__43+6_1______+_________+2_____6__+_3__4____+___7___5_+5__6__7__+_8______4+_____2___   _________+_______12+__3_45___+_____43__+_1_6___7_+8________+___1___8_+__4___5__+_6__7____   _3__2____+6________+___7__1__+__14_____+________5+_9___6__3+____9_7__+_2___3___+__7___4__   PERM   2006-07-02
   38404      134   8__67____+_5____4__+______2__+7___5__8_+__2__4___+_______1_+__4___9__+_6_8_____+___3_____   _________+_______12+__3_45___+______4__+___6____7+28_9_____+___2____6+__4___5__+9___7____   3_______4+_______6_+5__1_8___+_4_5_____+1_______3+____6__9_+______7_1+_________+_69_2____   PERM   2006-07-03
   35851     2356   63_2_____+____8_1__+4_____5__+2__4_____+____5_8__+_______6_+___6___2_+_8__7____+__1______   _________+_____1__2+_34____5_+_________+__5_6__3_+1____27__+___4_____+27____1__+8___5____   9________+____7_6__+__14_____+_6__2____+______7__+___5____1+_2______5+___1____9+_73_6____   PERM   2006-07-04
